START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
6/6/2015,7:15 PM,7:15 PM,Angels,Yankee Stadium,6/6/2015,6/6/2015,10:15 PM,10:15 PM
6/7/2015,1:05 PM,1:05 PM,Angels,Yankee Stadium,6/7/2015,6/7/2015,4:05 PM,4:05 PM
6/9/2015,7:05 PM,7:05 PM,Nationals,Yankee Stadium,6/9/2015,6/9/2015,10:05 PM,10:05 PM
6/10/2015,1:05 PM,1:05 PM,Nationals,Yankee Stadium,6/10/2015,6/10/2015,4:05 PM,4:05 PM
6/12/2015,7:05 PM,7:05 PM,Orioles,Oriole Park at Camden Yards,6/12/2015,6/12/2015,10:05 PM,10:05 PM
6/13/2015,3:33 AM,3:33 AM,Orioles,Oriole Park at Camden Yards,6/13/2015,6/13/2015,6:33 AM,6:33 AM
6/14/2015,1:35 PM,1:35 PM,Orioles,Oriole Park at Camden Yards,6/14/2015,6/14/2015,4:35 PM,4:35 PM
6/15/2015,7:10 PM,7:10 PM,Marlins,Marlins Park,6/15/2015,6/15/2015,10:10 PM,10:10 PM
6/16/2015,7:10 PM,7:10 PM,Marlins,Marlins Park,6/16/2015,6/16/2015,10:10 PM,10:10 PM
6/17/2015,7:05 PM,7:05 PM,Marlins,Yankee Stadium,6/17/2015,6/17/2015,10:05 PM,10:05 PM
6/18/2015,7:05 PM,7:05 PM,Marlins,Yankee Stadium,6/18/2015,6/18/2015,10:05 PM,10:05 PM
6/19/2015,7:05 PM,7:05 PM,Tigers,Yankee Stadium,6/19/2015,6/19/2015,10:05 PM,10:05 PM
6/20/2015,7:15 PM,7:15 PM,Tigers,Yankee Stadium,6/20/2015,6/20/2015,10:15 PM,10:15 PM
6/21/2015,3:33 AM,3:33 AM,Tigers,Yankee Stadium,6/21/2015,6/21/2015,6:33 AM,6:33 AM
6/22/2015,7:05 PM,7:05 PM,Phillies,Yankee Stadium,6/22/2015,6/22/2015,10:05 PM,10:05 PM
6/23/2015,7:05 PM,7:05 PM,Phillies,Yankee Stadium,6/23/2015,6/23/2015,10:05 PM,10:05 PM
6/24/2015,1:05 PM,1:05 PM,Phillies,Yankee Stadium,6/24/2015,6/24/2015,4:05 PM,4:05 PM
6/25/2015,3:33 AM,3:33 AM,Astros,Minute Maid Park,6/25/2015,6/25/2015,6:33 AM,6:33 AM
6/26/2015,3:33 AM,3:33 AM,Astros,Minute Maid Park,6/26/2015,6/26/2015,6:33 AM,6:33 AM
6/27/2015,3:33 AM,3:33 AM,Astros,Minute Maid Park,6/27/2015,6/27/2015,6:33 AM,6:33 AM
6/28/2015,3:33 AM,3:33 AM,Astros,Minute Maid Park,6/28/2015,6/28/2015,6:33 AM,6:33 AM
6/29/2015,10:05 PM,10:05 PM,Angels,Angel Stadium of Anaheim,6/30/2015,6/30/2015,1:05 AM,1:05 AM
6/30/2015,10:05 PM,10:05 PM,Angels,Angel Stadium of Anaheim,7/1/2015,7/1/2015,1:05 AM,1:05 AM
7/1/2015,7:05 PM,7:05 PM,Angels,Angel Stadium of Anaheim,7/1/2015,7/1/2015,10:05 PM,10:05 PM
7/3/2015,7:05 PM,7:05 PM,Rays,Yankee Stadium,7/3/2015,7/3/2015,10:05 PM,10:05 PM
7/4/2015,1:05 PM,1:05 PM,Rays,Yankee Stadium,7/4/2015,7/4/2015,4:05 PM,4:05 PM
7/5/2015,1:05 PM,1:05 PM,Rays,Yankee Stadium,7/5/2015,7/5/2015,4:05 PM,4:05 PM
7/7/2015,7:05 PM,7:05 PM,Athletics,Yankee Stadium,7/7/2015,7/7/2015,10:05 PM,10:05 PM
7/8/2015,7:05 PM,7:05 PM,Athletics,Yankee Stadium,7/8/2015,7/8/2015,10:05 PM,10:05 PM
7/9/2015,1:05 PM,1:05 PM,Athletics,Yankee Stadium,7/9/2015,7/9/2015,4:05 PM,4:05 PM
7/10/2015,7:10 PM,7:10 PM,Red Sox,Fenway Park,7/10/2015,7/10/2015,10:10 PM,10:10 PM
7/11/2015,7:15 PM,7:15 PM,Red Sox,Fenway Park,7/11/2015,7/11/2015,10:15 PM,10:15 PM
7/12/2015,1:35 PM,1:35 PM,Red Sox,Fenway Park,7/12/2015,7/12/2015,4:35 PM,4:35 PM
7/14/2015,3:33 AM,3:33 AM,AL All-Stars at NL All-Stars,Great American Ball Park,7/14/2015,7/14/2015,6:33 AM,6:33 AM
7/17/2015,7:05 PM,7:05 PM,Mariners,Yankee Stadium,7/17/2015,7/17/2015,10:05 PM,10:05 PM
7/18/2015,1:05 PM,1:05 PM,Mariners,Yankee Stadium,7/18/2015,7/18/2015,4:05 PM,4:05 PM
7/19/2015,1:05 PM,1:05 PM,Mariners,Yankee Stadium,7/19/2015,7/19/2015,4:05 PM,4:05 PM
7/21/2015,7:05 PM,7:05 PM,Orioles,Yankee Stadium,7/21/2015,7/21/2015,10:05 PM,10:05 PM
7/22/2015,7:05 PM,7:05 PM,Orioles,Yankee Stadium,7/22/2015,7/22/2015,10:05 PM,10:05 PM
7/23/2015,1:05 PM,1:05 PM,Orioles,Yankee Stadium,7/23/2015,7/23/2015,4:05 PM,4:05 PM
7/24/2015,8:10 PM,8:10 PM,Twins,Target Field,7/24/2015,7/24/2015,11:10 PM,11:10 PM
7/25/2015,3:33 AM,3:33 AM,Twins,Target Field,7/25/2015,7/25/2015,6:33 AM,6:33 AM
7/26/2015,2:10 PM,2:10 PM,Twins,Target Field,7/26/2015,7/26/2015,5:10 PM,5:10 PM
7/27/2015,8:05 PM,8:05 PM,Rangers,Globe Life Park in Arlington,7/27/2015,7/27/2015,11:05 PM,11:05 PM
7/28/2015,8:05 PM,8:05 PM,Rangers,Globe Life Park in Arlington,7/28/2015,7/28/2015,11:05 PM,11:05 PM
7/29/2015,8:05 PM,8:05 PM,Rangers,Globe Life Park in Arlington,7/29/2015,7/29/2015,11:05 PM,11:05 PM
7/30/2015,8:05 PM,8:05 PM,Rangers,Globe Life Park in Arlington,7/30/2015,7/30/2015,11:05 PM,11:05 PM
7/31/2015,3:33 AM,3:33 AM,White Sox,U.S. Cellular Field,7/31/2015,7/31/2015,6:33 AM,6:33 AM
8/1/2015,3:33 AM,3:33 AM,White Sox,U.S. Cellular Field,8/1/2015,8/1/2015,6:33 AM,6:33 AM
8/2/2015,3:33 AM,3:33 AM,White Sox,U.S. Cellular Field,8/2/2015,8/2/2015,6:33 AM,6:33 AM
8/4/2015,7:05 PM,7:05 PM,Red Sox,Yankee Stadium,8/4/2015,8/4/2015,10:05 PM,10:05 PM
8/5/2015,7:05 PM,7:05 PM,Red Sox,Yankee Stadium,8/5/2015,8/5/2015,10:05 PM,10:05 PM
8/6/2015,7:05 PM,7:05 PM,Red Sox,Yankee Stadium,8/6/2015,8/6/2015,10:05 PM,10:05 PM
8/7/2015,7:05 PM,7:05 PM,Blue Jays,Yankee Stadium,8/7/2015,8/7/2015,10:05 PM,10:05 PM
8/8/2015,1:05 PM,1:05 PM,Blue Jays,Yankee Stadium,8/8/2015,8/8/2015,4:05 PM,4:05 PM
8/9/2015,1:05 PM,1:05 PM,Blue Jays,Yankee Stadium,8/9/2015,8/9/2015,4:05 PM,4:05 PM
8/11/2015,3:33 AM,3:33 AM,Indians,Progressive Field,8/11/2015,8/11/2015,6:33 AM,6:33 AM
8/12/2015,3:33 AM,3:33 AM,Indians,Progressive Field,8/12/2015,8/12/2015,6:33 AM,6:33 AM
8/13/2015,3:33 AM,3:33 AM,Indians,Progressive Field,8/13/2015,8/13/2015,6:33 AM,6:33 AM
8/14/2015,7:07 PM,7:07 PM,Blue Jays,Rogers Centre,8/14/2015,8/14/2015,10:07 PM,10:07 PM
8/15/2015,1:07 PM,1:07 PM,Blue Jays,Rogers Centre,8/15/2015,8/15/2015,4:07 PM,4:07 PM
8/16/2015,1:07 PM,1:07 PM,Blue Jays,Rogers Centre,8/16/2015,8/16/2015,4:07 PM,4:07 PM
8/17/2015,7:05 PM,7:05 PM,Twins,Yankee Stadium,8/17/2015,8/17/2015,10:05 PM,10:05 PM
8/18/2015,7:05 PM,7:05 PM,Twins,Yankee Stadium,8/18/2015,8/18/2015,10:05 PM,10:05 PM
8/19/2015,1:05 PM,1:05 PM,Twins,Yankee Stadium,8/19/2015,8/19/2015,4:05 PM,4:05 PM
8/20/2015,7:05 PM,7:05 PM,Indians,Yankee Stadium,8/20/2015,8/20/2015,10:05 PM,10:05 PM
8/21/2015,7:05 PM,7:05 PM,Indians,Yankee Stadium,8/21/2015,8/21/2015,10:05 PM,10:05 PM
8/22/2015,1:05 PM,1:05 PM,Indians,Yankee Stadium,8/22/2015,8/22/2015,4:05 PM,4:05 PM
8/23/2015,3:33 AM,3:33 AM,Indians,Yankee Stadium,8/23/2015,8/23/2015,6:33 AM,6:33 AM
8/24/2015,7:05 PM,7:05 PM,Astros,Yankee Stadium,8/24/2015,8/24/2015,10:05 PM,10:05 PM
8/25/2015,7:05 PM,7:05 PM,Astros,Yankee Stadium,8/25/2015,8/25/2015,10:05 PM,10:05 PM
8/26/2015,1:05 PM,1:05 PM,Astros,Yankee Stadium,8/26/2015,8/26/2015,4:05 PM,4:05 PM
8/28/2015,7:35 PM,7:35 PM,Braves,Turner Field,8/28/2015,8/28/2015,10:35 PM,10:35 PM
8/29/2015,7:10 PM,7:10 PM,Braves,Turner Field,8/29/2015,8/29/2015,10:10 PM,10:10 PM
8/30/2015,1:35 PM,1:35 PM,Braves,Turner Field,8/30/2015,8/30/2015,4:35 PM,4:35 PM
8/31/2015,7:10 PM,7:10 PM,Red Sox,Fenway Park,8/31/2015,8/31/2015,10:10 PM,10:10 PM
9/1/2015,7:10 PM,7:10 PM,Red Sox,Fenway Park,9/1/2015,9/1/2015,10:10 PM,10:10 PM
9/2/2015,4:05 PM,4:05 PM,Red Sox,Fenway Park,9/2/2015,9/2/2015,7:05 PM,7:05 PM
9/4/2015,7:05 PM,7:05 PM,Rays,Yankee Stadium,9/4/2015,9/4/2015,10:05 PM,10:05 PM
9/5/2015,1:05 PM,1:05 PM,Rays,Yankee Stadium,9/5/2015,9/5/2015,4:05 PM,4:05 PM
9/6/2015,1:05 PM,1:05 PM,Rays,Yankee Stadium,9/6/2015,9/6/2015,4:05 PM,4:05 PM
9/7/2015,1:05 PM,1:05 PM,Orioles,Yankee Stadium,9/7/2015,9/7/2015,4:05 PM,4:05 PM
9/8/2015,7:05 PM,7:05 PM,Orioles,Yankee Stadium,9/8/2015,9/8/2015,10:05 PM,10:05 PM
9/9/2015,7:05 PM,7:05 PM,Orioles,Yankee Stadium,9/9/2015,9/9/2015,10:05 PM,10:05 PM
9/10/2015,7:05 PM,7:05 PM,Blue Jays,Yankee Stadium,9/10/2015,9/10/2015,10:05 PM,10:05 PM
9/11/2015,7:05 PM,7:05 PM,Blue Jays,Yankee Stadium,9/11/2015,9/11/2015,10:05 PM,10:05 PM
9/12/2015,4:05 PM,4:05 PM,Blue Jays,Yankee Stadium,9/12/2015,9/12/2015,7:05 PM,7:05 PM
9/13/2015,1:05 PM,1:05 PM,Blue Jays,Yankee Stadium,9/13/2015,9/13/2015,4:05 PM,4:05 PM
9/14/2015,7:10 PM,7:10 PM,Rays,Tropicana Field,9/14/2015,9/14/2015,10:10 PM,10:10 PM
9/15/2015,7:10 PM,7:10 PM,Rays,Tropicana Field,9/15/2015,9/15/2015,10:10 PM,10:10 PM
9/16/2015,7:10 PM,7:10 PM,Rays,Tropicana Field,9/16/2015,9/16/2015,10:10 PM,10:10 PM
9/18/2015,7:10 PM,7:10 PM,Mets,Citi Field,9/18/2015,9/18/2015,10:10 PM,10:10 PM
9/19/2015,1:05 PM,1:05 PM,Mets,Citi Field,9/19/2015,9/19/2015,4:05 PM,4:05 PM
9/20/2015,1:10 PM,1:10 PM,Mets,Citi Field,9/20/2015,9/20/2015,4:10 PM,4:10 PM
9/21/2015,7:07 PM,7:07 PM,Blue Jays,Rogers Centre,9/21/2015,9/21/2015,10:07 PM,10:07 PM
9/22/2015,7:07 PM,7:07 PM,Blue Jays,Rogers Centre,9/22/2015,9/22/2015,10:07 PM,10:07 PM
9/23/2015,7:07 PM,7:07 PM,Blue Jays,Rogers Centre,9/23/2015,9/23/2015,10:07 PM,10:07 PM
9/24/2015,7:05 PM,7:05 PM,White Sox,Yankee Stadium,9/24/2015,9/24/2015,10:05 PM,10:05 PM
9/25/2015,7:05 PM,7:05 PM,White Sox,Yankee Stadium,9/25/2015,9/25/2015,10:05 PM,10:05 PM
9/26/2015,3:33 AM,3:33 AM,White Sox,Yankee Stadium,9/26/2015,9/26/2015,6:33 AM,6:33 AM
9/27/2015,3:33 AM,3:33 AM,White Sox,Yankee Stadium,9/27/2015,9/27/2015,6:33 AM,6:33 AM
9/28/2015,7:05 PM,7:05 PM,Red Sox,Yankee Stadium,9/28/2015,9/28/2015,10:05 PM,10:05 PM
9/29/2015,7:05 PM,7:05 PM,Red Sox,Yankee Stadium,9/29/2015,9/29/2015,10:05 PM,10:05 PM
9/30/2015,7:05 PM,7:05 PM,Red Sox,Yankee Stadium,9/30/2015,9/30/2015,10:05 PM,10:05 PM
10/1/2015,7:05 PM,7:05 PM,Red Sox,Yankee Stadium,10/1/2015,10/1/2015,10:05 PM,10:05 PM
10/2/2015,7:05 PM,7:05 PM,Orioles,Oriole Park at Camden Yards,10/2/2015,10/2/2015,10:05 PM,10:05 PM
10/3/2015,7:05 PM,7:05 PM,Orioles,Oriole Park at Camden Yards,10/3/2015,10/3/2015,10:05 PM,10:05 PM
10/4/2015,1:35 PM,1:35 PM,Orioles,Oriole Park at Camden Yards,10/4/2015,10/4/2015,4:35 PM,4:35 PM
