START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
6/15/2015,7:10 PM,7:10 PM,Braves,Fenway Park,6/15/2015,6/15/2015,10:10 PM,10:10 PM
6/16/2015,4:05 PM,4:05 PM,Braves,Fenway Park,6/16/2015,6/16/2015,7:05 PM,7:05 PM
6/17/2015,7:10 PM,7:10 PM,Braves,Turner Field,6/17/2015,6/17/2015,10:10 PM,10:10 PM
6/18/2015,7:10 PM,7:10 PM,Braves,Turner Field,6/18/2015,6/18/2015,10:10 PM,10:10 PM
6/19/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,6/19/2015,6/19/2015,6:33 AM,6:33 AM
6/20/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,6/20/2015,6/20/2015,6:33 AM,6:33 AM
6/21/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,6/21/2015,6/21/2015,6:33 AM,6:33 AM
6/23/2015,7:10 PM,7:10 PM,Orioles,Fenway Park,6/23/2015,6/23/2015,10:10 PM,10:10 PM
6/24/2015,7:10 PM,7:10 PM,Orioles,Fenway Park,6/24/2015,6/24/2015,10:10 PM,10:10 PM
6/25/2015,1:35 PM,1:35 PM,Orioles,Fenway Park,6/25/2015,6/25/2015,4:35 PM,4:35 PM
6/26/2015,7:10 PM,7:10 PM,Rays,Tropicana Field,6/26/2015,6/26/2015,10:10 PM,10:10 PM
6/27/2015,4:10 PM,4:10 PM,Rays,Tropicana Field,6/27/2015,6/27/2015,7:10 PM,7:10 PM
6/28/2015,1:10 PM,1:10 PM,Rays,Tropicana Field,6/28/2015,6/28/2015,4:10 PM,4:10 PM
6/29/2015,7:07 PM,7:07 PM,Blue Jays,Rogers Centre,6/29/2015,6/29/2015,10:07 PM,10:07 PM
6/30/2015,7:07 PM,7:07 PM,Blue Jays,Rogers Centre,6/30/2015,6/30/2015,10:07 PM,10:07 PM
7/1/2015,1:07 PM,1:07 PM,Blue Jays,Rogers Centre,7/1/2015,7/1/2015,4:07 PM,4:07 PM
7/2/2015,7:07 PM,7:07 PM,Blue Jays,Rogers Centre,7/2/2015,7/2/2015,10:07 PM,10:07 PM
7/3/2015,7:10 PM,7:10 PM,Astros,Fenway Park,7/3/2015,7/3/2015,10:10 PM,10:10 PM
7/4/2015,1:35 PM,1:35 PM,Astros,Fenway Park,7/4/2015,7/4/2015,4:35 PM,4:35 PM
7/5/2015,3:33 AM,3:33 AM,Astros,Fenway Park,7/5/2015,7/5/2015,6:33 AM,6:33 AM
7/7/2015,7:10 PM,7:10 PM,Marlins,Fenway Park,7/7/2015,7/7/2015,10:10 PM,10:10 PM
7/8/2015,7:10 PM,7:10 PM,Marlins,Fenway Park,7/8/2015,7/8/2015,10:10 PM,10:10 PM
7/10/2015,7:10 PM,7:10 PM,Yankees,Fenway Park,7/10/2015,7/10/2015,10:10 PM,10:10 PM
7/11/2015,7:15 PM,7:15 PM,Yankees,Fenway Park,7/11/2015,7/11/2015,10:15 PM,10:15 PM
7/12/2015,1:35 PM,1:35 PM,Yankees,Fenway Park,7/12/2015,7/12/2015,4:35 PM,4:35 PM
7/14/2015,3:33 AM,3:33 AM,AL All-Stars at NL All-Stars,Great American Ball Park,7/14/2015,7/14/2015,6:33 AM,6:33 AM
