START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,AT_HOME,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
8/6/2014,17:10:00,20:10:00,Brewers,Miller Park,FALSE,,8/6/2014,8/6/2014,20:10:00,23:10:00
8/7/2014,11:10:00,14:10:00,Brewers,Miller Park,FALSE,,8/7/2014,8/7/2014,14:10:00,17:10:00
8/8/2014,17:10:00,20:10:00,Royals,Kauffman Stadium,FALSE,,8/8/2014,8/8/2014,20:10:00,23:10:00
8/9/2014,16:10:00,19:10:00,Royals,Kauffman Stadium,FALSE,,8/9/2014,8/9/2014,19:10:00,22:10:00
8/10/2014,11:10:00,14:10:00,Royals,Kauffman Stadium,FALSE,,8/10/2014,8/10/2014,14:10:00,17:10:00
8/12/2014,19:15:00,22:15:00,White Sox,AT&T Park,TRUE,,8/12/2014,8/13/2014,22:15:00,1:15:00
8/13/2014,12:45:00,15:45:00,White Sox,AT&T Park,TRUE,,8/13/2014,8/13/2014,15:45:00,18:45:00
8/15/2014,19:15:00,22:15:00,Phillies,AT&T Park,TRUE,Local TV: NBC Bay Area,8/15/2014,8/16/2014,22:15:00,1:15:00
8/16/2014,13:05:00,16:05:00,Phillies,AT&T Park,TRUE,,8/16/2014,8/16/2014,16:05:00,19:05:00
8/17/2014,13:05:00,16:05:00,Phillies,AT&T Park,TRUE,,8/17/2014,8/17/2014,16:05:00,19:05:00
8/19/2014,17:05:00,20:05:00,Cubs,Wrigley Field,FALSE,,8/19/2014,8/19/2014,20:05:00,23:05:00
8/20/2014,17:05:00,20:05:00,Cubs,Wrigley Field,FALSE,,8/20/2014,8/20/2014,20:05:00,23:05:00
8/21/2014,17:05:00,20:05:00,Cubs,Wrigley Field,FALSE,,8/21/2014,8/21/2014,20:05:00,23:05:00
8/22/2014,16:05:00,19:05:00,Nationals,Nationals Park,FALSE,,8/22/2014,8/22/2014,19:05:00,22:05:00
8/23/2014,13:05:00,16:05:00,Nationals,Nationals Park,FALSE,Local TV: FS1,8/23/2014,8/23/2014,16:05:00,19:05:00
8/24/2014,10:35:00,13:35:00,Nationals,Nationals Park,FALSE,,8/24/2014,8/24/2014,13:35:00,16:35:00
8/25/2014,19:15:00,22:15:00,Rockies,AT&T Park,TRUE,,8/25/2014,8/26/2014,22:15:00,1:15:00
8/26/2014,19:15:00,22:15:00,Rockies,AT&T Park,TRUE,,8/26/2014,8/27/2014,22:15:00,1:15:00
8/27/2014,19:15:00,22:15:00,Rockies,AT&T Park,TRUE,,8/27/2014,8/28/2014,22:15:00,1:15:00
8/28/2014,12:45:00,15:45:00,Rockies,AT&T Park,TRUE,,8/28/2014,8/28/2014,15:45:00,18:45:00
8/29/2014,19:15:00,22:15:00,Brewers,AT&T Park,TRUE,,8/29/2014,8/30/2014,22:15:00,1:15:00
8/30/2014,18:05:00,21:05:00,Brewers,AT&T Park,TRUE,Local TV: NBC Bay Area,8/30/2014,8/31/2014,21:05:00,0:05:00
8/31/2014,13:05:00,16:05:00,Brewers,AT&T Park,TRUE,,8/31/2014,8/31/2014,16:05:00,19:05:00
9/1/2014,13:10:00,16:10:00,Rockies,Coors Field,FALSE,,9/1/2014,9/1/2014,16:10:00,19:10:00
9/2/2014,17:40:00,20:40:00,Rockies,Coors Field,FALSE,,9/2/2014,9/2/2014,20:40:00,23:40:00
9/3/2014,12:10:00,15:10:00,Rockies,Coors Field,FALSE,,9/3/2014,9/3/2014,15:10:00,18:10:00
9/5/2014,16:08:00,19:08:00,Tigers,Comerica Park,FALSE,,9/5/2014,9/5/2014,19:08:00,22:08:00
9/6/2014,10:08:00,13:08:00,Tigers,Comerica Park,FALSE,Local TV: FOX,9/6/2014,9/6/2014,13:08:00,16:08:00
9/7/2014,10:08:00,13:08:00,Tigers,Comerica Park,FALSE,,9/7/2014,9/7/2014,13:08:00,16:08:00
9/9/2014,19:15:00,22:15:00,D-backs,AT&T Park,TRUE,,9/9/2014,9/10/2014,22:15:00,1:15:00
9/10/2014,19:15:00,22:15:00,D-backs,AT&T Park,TRUE,,9/10/2014,9/11/2014,22:15:00,1:15:00
9/11/2014,12:45:00,15:45:00,D-backs,AT&T Park,TRUE,,9/11/2014,9/11/2014,15:45:00,18:45:00
9/12/2014,19:15:00,22:15:00,Dodgers,AT&T Park,TRUE,Local TV: NBC Bay Area,9/12/2014,9/13/2014,22:15:00,1:15:00
9/13/2014,18:05:00,21:05:00,Dodgers,AT&T Park,TRUE,,9/13/2014,9/14/2014,21:05:00,0:05:00
9/14/2014,13:05:00,16:05:00,Dodgers,AT&T Park,TRUE,,9/14/2014,9/14/2014,16:05:00,19:05:00
9/15/2014,18:40:00,21:40:00,D-backs,Chase Field,FALSE,,9/15/2014,9/16/2014,21:40:00,0:40:00
9/16/2014,18:40:00,21:40:00,D-backs,Chase Field,FALSE,,9/16/2014,9/17/2014,21:40:00,0:40:00
9/17/2014,12:40:00,15:40:00,D-backs,Chase Field,FALSE,,9/17/2014,9/17/2014,15:40:00,18:40:00
9/19/2014,19:10:00,22:10:00,Padres,Petco Park,FALSE,,9/19/2014,9/20/2014,22:10:00,1:10:00
9/20/2014,17:40:00,20:40:00,Padres,Petco Park,FALSE,,9/20/2014,9/20/2014,20:40:00,23:40:00
9/21/2014,13:10:00,16:10:00,Padres,Petco Park,FALSE,,9/21/2014,9/21/2014,16:10:00,19:10:00
9/22/2014,19:10:00,22:10:00,Dodgers,Dodger Stadium,FALSE,,9/22/2014,9/23/2014,22:10:00,1:10:00
9/23/2014,19:10:00,22:10:00,Dodgers,Dodger Stadium,FALSE,,9/23/2014,9/24/2014,22:10:00,1:10:00
9/24/2014,19:10:00,22:10:00,Dodgers,Dodger Stadium,FALSE,,9/24/2014,9/25/2014,22:10:00,1:10:00
9/25/2014,19:15:00,22:15:00,Padres,AT&T Park,TRUE,,9/25/2014,9/26/2014,22:15:00,1:15:00
9/26/2014,19:15:00,22:15:00,Padres,AT&T Park,TRUE,,9/26/2014,9/27/2014,22:15:00,1:15:00
9/27/2014,13:05:00,16:05:00,Padres,AT&T Park,TRUE,,9/27/2014,9/27/2014,16:05:00,19:05:00
9/28/2014,13:05:00,16:05:00,Padres,AT&T Park,TRUE,,9/28/2014,9/28/2014,16:05:00,19:05:00
