START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
04/22/14,07:05 PM,07:05 PM,Royals,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/22/14,04/22/14,10:05 PM,10:05 PM,FALSE,TRUE,04/22/14,06:05 PM,06:05 PM,FREE,BUSY
04/23/14,07:05 PM,07:05 PM,Royals,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/23/14,04/23/14,10:05 PM,10:05 PM,FALSE,TRUE,04/23/14,06:05 PM,06:05 PM,FREE,BUSY
04/24/14,12:05 PM,12:05 PM,Royals,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100",04/24/14,04/24/14,03:05 PM,03:05 PM,FALSE,TRUE,04/24/14,11:05 AM,11:05 AM,FREE,BUSY
04/25/14,10:15 PM,10:15 PM,Giants,AT&T Park,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/26/14,04/26/14,01:15 AM,01:15 AM,FALSE,TRUE,04/25/14,09:15 PM,09:15 PM,FREE,BUSY
04/26/14,04:05 PM,04:05 PM,Giants,AT&T Park,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/26/14,04/26/14,07:05 PM,07:05 PM,FALSE,TRUE,04/26/14,03:05 PM,03:05 PM,FREE,BUSY
04/27/14,04:05 PM,04:05 PM,Giants,AT&T Park,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/27/14,04/27/14,07:05 PM,07:05 PM,FALSE,TRUE,04/27/14,03:05 PM,03:05 PM,FREE,BUSY
04/28/14,10:05 PM,10:05 PM,Angels,Angel Stadium of Anaheim,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/29/14,04/29/14,01:05 AM,01:05 AM,FALSE,TRUE,04/28/14,09:05 PM,09:05 PM,FREE,BUSY
04/29/14,10:05 PM,10:05 PM,Angels,Angel Stadium of Anaheim,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/30/14,04/30/14,01:05 AM,01:05 AM,FALSE,TRUE,04/29/14,09:05 PM,09:05 PM,FREE,BUSY
04/30/14,07:05 PM,07:05 PM,Angels,Angel Stadium of Anaheim,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/30/14,04/30/14,10:05 PM,10:05 PM,FALSE,TRUE,04/30/14,06:05 PM,06:05 PM,FREE,BUSY
05/02/14,07:05 PM,07:05 PM,White Sox,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",05/02/14,05/02/14,10:05 PM,10:05 PM,FALSE,TRUE,05/02/14,06:05 PM,06:05 PM,FREE,BUSY
