START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
8/19/2015,4:15 PM,7:15 PM,Cardinals,Busch Stadium,8/19/2015,8/19/2015,7:15 PM,10:15 PM
8/20/2015,4:05 PM,7:05 PM,Pirates,PNC Park,8/20/2015,8/20/2015,7:05 PM,10:05 PM
8/21/2015,4:05 PM,7:05 PM,Pirates,PNC Park,8/21/2015,8/21/2015,7:05 PM,10:05 PM
8/22/2015,4:05 PM,7:05 PM,Pirates,PNC Park,8/22/2015,8/22/2015,7:05 PM,10:05 PM
8/23/2015,10:35 AM,1:35 PM,Pirates,PNC Park,8/23/2015,8/23/2015,1:35 PM,4:35 PM
8/25/2015,7:15 PM,10:15 PM,Cubs,AT&T Park,8/25/2015,8/26/2015,10:15 PM,1:15 AM
8/26/2015,7:15 PM,10:15 PM,Cubs,AT&T Park,8/26/2015,8/27/2015,10:15 PM,1:15 AM
8/27/2015,12:45 PM,3:45 PM,Cubs,AT&T Park,8/27/2015,8/27/2015,3:45 PM,6:45 PM
8/28/2015,7:15 PM,10:15 PM,Cardinals,AT&T Park,8/28/2015,8/29/2015,10:15 PM,1:15 AM
8/29/2015,1:05 PM,4:05 PM,Cardinals,AT&T Park,8/29/2015,8/29/2015,4:05 PM,7:05 PM
8/30/2015,1:05 PM,4:05 PM,Cardinals,AT&T Park,8/30/2015,8/30/2015,4:05 PM,7:05 PM
8/31/2015,7:10 PM,10:10 PM,Dodgers,Dodger Stadium,8/31/2015,9/1/2015,10:10 PM,1:10 AM
9/1/2015,7:10 PM,10:10 PM,Dodgers,Dodger Stadium,9/1/2015,9/2/2015,10:10 PM,1:10 AM
9/2/2015,7:10 PM,10:10 PM,Dodgers,Dodger Stadium,9/2/2015,9/3/2015,10:10 PM,1:10 AM
9/3/2015,5:40 PM,8:40 PM,Rockies,Coors Field,9/3/2015,9/3/2015,8:40 PM,11:40 PM
9/4/2015,5:40 PM,8:40 PM,Rockies,Coors Field,9/4/2015,9/4/2015,8:40 PM,11:40 PM
9/5/2015,5:10 PM,8:10 PM,Rockies,Coors Field,9/5/2015,9/5/2015,8:10 PM,11:10 PM
9/6/2015,1:10 PM,4:10 PM,Rockies,Coors Field,9/6/2015,9/6/2015,4:10 PM,7:10 PM
9/7/2015,1:10 PM,4:10 PM,D-backs,Chase Field,9/7/2015,9/7/2015,4:10 PM,7:10 PM
9/8/2015,6:40 PM,9:40 PM,D-backs,Chase Field,9/8/2015,9/9/2015,9:40 PM,12:40 AM
9/9/2015,6:40 PM,9:40 PM,D-backs,Chase Field,9/9/2015,9/10/2015,9:40 PM,12:40 AM
9/11/2015,7:15 PM,10:15 PM,Padres,AT&T Park,9/11/2015,9/12/2015,10:15 PM,1:15 AM
9/12/2015,6:05 PM,9:05 PM,Padres,AT&T Park,9/12/2015,9/13/2015,9:05 PM,12:05 AM
9/13/2015,1:05 PM,4:05 PM,Padres,AT&T Park,9/13/2015,9/13/2015,4:05 PM,7:05 PM
9/14/2015,7:15 PM,10:15 PM,Reds,AT&T Park,9/14/2015,9/15/2015,10:15 PM,1:15 AM
9/15/2015,7:15 PM,10:15 PM,Reds,AT&T Park,9/15/2015,9/16/2015,10:15 PM,1:15 AM
9/16/2015,7:15 PM,10:15 PM,Reds,AT&T Park,9/16/2015,9/17/2015,10:15 PM,1:15 AM
9/18/2015,7:15 PM,10:15 PM,D-backs,AT&T Park,9/18/2015,9/19/2015,10:15 PM,1:15 AM
9/19/2015,1:05 PM,4:05 PM,D-backs,AT&T Park,9/19/2015,9/19/2015,4:05 PM,7:05 PM
9/20/2015,1:05 PM,4:05 PM,D-backs,AT&T Park,9/20/2015,9/20/2015,4:05 PM,7:05 PM
9/22/2015,3:33 AM,3:33 AM,Padres,Petco Park,9/22/2015,9/22/2015,6:33 AM,6:33 AM
9/23/2015,3:33 AM,3:33 AM,Padres,Petco Park,9/23/2015,9/23/2015,6:33 AM,6:33 AM
9/24/2015,3:33 AM,3:33 AM,Padres,Petco Park,9/24/2015,9/24/2015,6:33 AM,6:33 AM
9/25/2015,7:05 PM,10:05 PM,Athletics,O.co Coliseum,9/25/2015,9/26/2015,10:05 PM,1:05 AM
9/26/2015,1:05 PM,4:05 PM,Athletics,O.co Coliseum,9/26/2015,9/26/2015,4:05 PM,7:05 PM
9/27/2015,1:05 PM,4:05 PM,Athletics,O.co Coliseum,9/27/2015,9/27/2015,4:05 PM,7:05 PM
9/28/2015,7:15 PM,10:15 PM,Dodgers,AT&T Park,9/28/2015,9/29/2015,10:15 PM,1:15 AM
9/29/2015,7:15 PM,10:15 PM,Dodgers,AT&T Park,9/29/2015,9/30/2015,10:15 PM,1:15 AM
9/30/2015,7:15 PM,10:15 PM,Dodgers,AT&T Park,9/30/2015,10/1/2015,10:15 PM,1:15 AM
10/1/2015,12:45 PM,3:45 PM,Dodgers,AT&T Park,10/1/2015,10/1/2015,3:45 PM,6:45 PM
10/2/2015,7:15 PM,10:15 PM,Rockies,AT&T Park,10/2/2015,10/3/2015,10:15 PM,1:15 AM
10/3/2015,1:05 PM,4:05 PM,Rockies,AT&T Park,10/3/2015,10/3/2015,4:05 PM,7:05 PM
10/4/2015,1:05 PM,4:05 PM,Rockies,AT&T Park,10/4/2015,10/4/2015,4:05 PM,7:05 PM
