START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/11/2016,7:30 PM,10:30 PM,Calgary,SAP Center - San Jose - CA,SN360 /  CSN-CA,02/11/2016,02/12/2016,10:30 PM,1:30 AM,FALSE,TRUE,02/11/2016,6:30 PM,9:30 PM,FREE,BUSY
02/13/2016,7:30 PM,10:30 PM,Arizona,SAP Center - San Jose - CA,FS-A /  CSN-CA,02/13/2016,02/14/2016,10:30 PM,1:30 AM,FALSE,TRUE,02/13/2016,6:30 PM,9:30 PM,FREE,BUSY
02/16/2016,7:30 PM,7:30 PM,Tampa Bay,Amalie Arena - Tampa - FL,TVAS /  CSN-CA /  SUN,02/16/2016,02/16/2016,10:30 PM,10:30 PM,FALSE,TRUE,02/16/2016,6:30 PM,6:30 PM,FREE,BUSY
02/18/2016,7:30 PM,7:30 PM,Florida,BB&T Center - Sunrise - FL,CSN-CA /  FS-F,02/18/2016,02/18/2016,10:30 PM,10:30 PM,FALSE,TRUE,02/18/2016,6:30 PM,6:30 PM,FREE,BUSY
02/19/2016,7:00 PM,7:00 PM,Carolina,PNC Arena - Raleigh - NC,CSN-CA /  FS-CR,02/19/2016,02/19/2016,10:00 PM,10:00 PM,FALSE,TRUE,02/19/2016,6:00 PM,6:00 PM,FREE,BUSY
02/22/2016,7:00 PM,8:00 PM,St Louis,Scottrade Center - St. Louis - MO,NBCSN,02/22/2016,02/22/2016,10:00 PM,11:00 PM,FALSE,TRUE,02/22/2016,6:00 PM,7:00 PM,FREE,BUSY
02/24/2016,8:00 PM,10:00 PM,Colorado,Pepsi Center - Denver - CO,NBCSN,02/24/2016,02/25/2016,11:00 PM,1:00 AM,FALSE,TRUE,02/24/2016,7:00 PM,9:00 PM,FREE,BUSY
02/26/2016,7:30 PM,10:30 PM,Buffalo,SAP Center - San Jose - CA,MSG-B / BELL TV /  CSN-CA,02/26/2016,02/27/2016,10:30 PM,1:30 AM,FALSE,TRUE,02/26/2016,6:30 PM,9:30 PM,FREE,BUSY
02/28/2016,4:00 PM,7:00 PM,Vancouver,Rogers Arena - Vancouver - BC,SN /  CSN-CA,02/28/2016,02/28/2016,7:00 PM,10:00 PM,FALSE,TRUE,02/28/2016,3:00 PM,6:00 PM,FREE,BUSY
02/29/2016,7:30 PM,10:30 PM,Montreal,SAP Center - San Jose - CA,RDS / SNE /  CSN-CA,02/29/2016,03/01/2016,10:30 PM,1:30 AM,FALSE,TRUE,02/29/2016,6:30 PM,9:30 PM,FREE,BUSY
03/03/2016,7:00 PM,10:00 PM,Vancouver,Rogers Arena - Vancouver - BC,CSN-CA /  SNP,03/03/2016,03/04/2016,10:00 PM,1:00 AM,FALSE,TRUE,03/03/2016,6:00 PM,9:00 PM,FREE,BUSY
03/05/2016,7:00 PM,10:00 PM,Vancouver,SAP Center - San Jose - CA,HNIC /  CSN-CA,03/05/2016,03/06/2016,10:00 PM,1:00 AM,FALSE,TRUE,03/05/2016,6:00 PM,9:00 PM,FREE,BUSY
03/07/2016,7:00 PM,9:00 PM,Calgary,Scotiabank Saddledome - Calgary - AB,CSN-CA /  SNW,03/07/2016,03/08/2016,10:00 PM,12:00 AM,FALSE,TRUE,03/07/2016,6:00 PM,8:00 PM,FREE,BUSY
03/08/2016,7:00 PM,9:00 PM,Edmonton,Rexall Place - Edmonton - AB,CSN-CA /  SNW,03/08/2016,03/09/2016,10:00 PM,12:00 AM,FALSE,TRUE,03/08/2016,6:00 PM,8:00 PM,FREE,BUSY
03/10/2016,7:30 PM,10:30 PM,New Jersey,SAP Center - San Jose - CA,MSG+ /  CSN-CA,03/10/2016,03/11/2016,10:30 PM,1:30 AM,FALSE,TRUE,03/10/2016,6:30 PM,9:30 PM,FREE,BUSY
03/12/2016,7:30 PM,10:30 PM,Washington,SAP Center - San Jose - CA,CSN-DC+ /  CSN-CA,03/12/2016,03/13/2016,10:30 PM,1:30 AM,FALSE,TRUE,03/12/2016,6:30 PM,9:30 PM,FREE,BUSY
03/15/2016,7:00 PM,10:00 PM,Boston,SAP Center - San Jose - CA,NBCSN /  NESN,03/15/2016,03/16/2016,10:00 PM,1:00 AM,FALSE,TRUE,03/15/2016,6:00 PM,9:00 PM,FREE,BUSY
03/17/2016,7:00 PM,10:00 PM,Arizona,Gila River Arena - Glendale - AZ,CSN-CA /  FS-A PLUS,03/17/2016,03/18/2016,10:00 PM,1:00 AM,FALSE,TRUE,03/17/2016,6:00 PM,9:00 PM,FREE,BUSY
03/19/2016,1:00 PM,4:00 PM,Ny Rangers,SAP Center - San Jose - CA,MSG+ /  CSN-CA,03/19/2016,03/19/2016,4:00 PM,7:00 PM,FALSE,TRUE,03/19/2016,12:00 PM,3:00 PM,FREE,BUSY
03/20/2016,7:00 PM,10:00 PM,Arizona,SAP Center - San Jose - CA,FS-A /  CSN-CA,03/20/2016,03/21/2016,10:00 PM,1:00 AM,FALSE,TRUE,03/20/2016,6:00 PM,9:00 PM,FREE,BUSY
03/22/2016,7:30 PM,10:30 PM,St Louis,SAP Center - San Jose - CA,FS-MW /  CSN-CA,03/22/2016,03/23/2016,10:30 PM,1:30 AM,FALSE,TRUE,03/22/2016,6:30 PM,9:30 PM,FREE,BUSY
03/24/2016,7:30 PM,10:30 PM,Edmonton,SAP Center - San Jose - CA,SNOL /  CSN-CA,03/24/2016,03/25/2016,10:30 PM,1:30 AM,FALSE,TRUE,03/24/2016,6:30 PM,9:30 PM,FREE,BUSY
03/26/2016,1:00 PM,4:00 PM,Dallas,SAP Center - San Jose - CA,FS-SW /  CSN-CA,03/26/2016,03/26/2016,4:00 PM,7:00 PM,FALSE,TRUE,03/26/2016,12:00 PM,3:00 PM,FREE,BUSY
03/28/2016,7:00 PM,10:00 PM,Los Angeles,SAP Center - San Jose - CA,NBCSN,03/28/2016,03/29/2016,10:00 PM,1:00 AM,FALSE,TRUE,03/28/2016,6:00 PM,9:00 PM,FREE,BUSY
03/29/2016,7:00 PM,10:00 PM,Vancouver,Rogers Arena - Vancouver - BC,CSN-CA /  SNP,03/29/2016,03/30/2016,10:00 PM,1:00 AM,FALSE,TRUE,03/29/2016,6:00 PM,9:00 PM,FREE,BUSY
03/31/2016,7:30 PM,10:30 PM,Vancouver,SAP Center - San Jose - CA,SNP /  CSN-CA,03/31/2016,04/01/2016,10:30 PM,1:30 AM,FALSE,TRUE,03/31/2016,6:30 PM,9:30 PM,FREE,BUSY
04/02/2016,7:00 PM,8:00 PM,Nashville,Bridgestone Arena - Nashville - TN,CSN-CA /  FS-TN,04/02/2016,04/02/2016,10:00 PM,11:00 PM,FALSE,TRUE,04/02/2016,6:00 PM,7:00 PM,FREE,BUSY
04/05/2016,7:00 PM,8:00 PM,Minnesota,Xcel Energy Center - St. Paul - MN,CSN-CA+ /  FS-N,04/05/2016,04/05/2016,10:00 PM,11:00 PM,FALSE,TRUE,04/05/2016,6:00 PM,7:00 PM,FREE,BUSY
04/07/2016,7:30 PM,10:30 PM,Winnipeg,SAP Center - San Jose - CA,TSN3 /  CSN-CA+,04/07/2016,04/08/2016,10:30 PM,1:30 AM,FALSE,TRUE,04/07/2016,6:30 PM,9:30 PM,FREE,BUSY
04/09/2016,7:30 PM,10:30 PM,Arizona,SAP Center - San Jose - CA,FS-A /  CSN-CA+,04/09/2016,04/10/2016,10:30 PM,1:30 AM,FALSE,TRUE,04/09/2016,6:30 PM,9:30 PM,FREE,BUSY
