START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
8/20/2015,7:05 PM,7:05 PM,Yankees,Yankee Stadium,8/20/2015,8/20/2015,10:05 PM,10:05 PM
8/21/2015,7:05 PM,7:05 PM,Yankees,Yankee Stadium,8/21/2015,8/21/2015,10:05 PM,10:05 PM
8/22/2015,1:05 PM,1:05 PM,Yankees,Yankee Stadium,8/22/2015,8/22/2015,4:05 PM,4:05 PM
8/23/2015,3:33 AM,3:33 AM,Yankees,Yankee Stadium,8/23/2015,8/23/2015,6:33 AM,6:33 AM
8/25/2015,3:33 AM,3:33 AM,Brewers,Progressive Field,8/25/2015,8/25/2015,6:33 AM,6:33 AM
8/26/2015,3:33 AM,3:33 AM,Brewers,Progressive Field,8/26/2015,8/26/2015,6:33 AM,6:33 AM
8/28/2015,3:33 AM,3:33 AM,Angels,Progressive Field,8/28/2015,8/28/2015,6:33 AM,6:33 AM
8/29/2015,3:33 AM,3:33 AM,Angels,Progressive Field,8/29/2015,8/29/2015,6:33 AM,6:33 AM
8/30/2015,3:33 AM,3:33 AM,Angels,Progressive Field,8/30/2015,8/30/2015,6:33 AM,6:33 AM
8/31/2015,7:07 PM,7:07 PM,Blue Jays,Rogers Centre,8/31/2015,8/31/2015,10:07 PM,10:07 PM
9/1/2015,7:07 PM,7:07 PM,Blue Jays,Rogers Centre,9/1/2015,9/1/2015,10:07 PM,10:07 PM
9/2/2015,7:07 PM,7:07 PM,Blue Jays,Rogers Centre,9/2/2015,9/2/2015,10:07 PM,10:07 PM
9/4/2015,7:08 PM,7:08 PM,Tigers,Comerica Park,9/4/2015,9/4/2015,10:08 PM,10:08 PM
9/5/2015,7:08 PM,7:08 PM,Tigers,Comerica Park,9/5/2015,9/5/2015,10:08 PM,10:08 PM
9/6/2015,1:08 PM,1:08 PM,Tigers,Comerica Park,9/6/2015,9/6/2015,4:08 PM,4:08 PM
9/7/2015,3:33 AM,3:33 AM,White Sox,U.S. Cellular Field,9/7/2015,9/7/2015,6:33 AM,6:33 AM
9/8/2015,3:33 AM,3:33 AM,White Sox,U.S. Cellular Field,9/8/2015,9/8/2015,6:33 AM,6:33 AM
9/9/2015,3:33 AM,3:33 AM,White Sox,U.S. Cellular Field,9/9/2015,9/9/2015,6:33 AM,6:33 AM
